Timestamp,PID,Name,CPU (%),RAM (MB),RAM (%),Running Time
2026-08-21T23:16:43+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m20s
2026-08-21T23:16:48+07:00,2412,browser.exe,1.30,275.26,1.71,4h55m14s
2026-08-21T23:16:48+07:00,3336,Code.exe,0.20,51.29,0.32,3m19s
2026-08-21T23:16:48+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m25s
2026-08-21T23:16:48+07:00,536,browser.exe,0.00,56.27,0.35,4h55m10s
2026-08-21T23:16:48+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h51m53s
2026-08-21T23:16:48+07:00,2412,browser.exe,1.30,275.26,1.71,4h55m14s
2026-08-21T23:16:48+07:00,536,browser.exe,0.00,56.27,0.35,4h55m10s
2026-08-21T23:16:48+07:00,3336,Code.exe,0.20,51.29,0.32,3m19s
2026-08-21T23:16:48+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h51m53s
2026-08-21T23:16:48+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m25s
2026-08-21T23:16:53+07:00,2412,browser.exe,1.30,274.96,1.71,4h55m19s
2026-08-21T23:16:53+07:00,3336,Code.exe,0.19,51.32,0.32,3m24s
2026-08-21T23:16:53+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m30s
2026-08-21T23:16:53+07:00,536,browser.exe,0.00,56.27,0.35,4h55m15s
2026-08-21T23:16:53+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h51m58s
2026-08-21T23:16:53+07:00,2412,browser.exe,1.30,274.96,1.71,4h55m19s
2026-08-21T23:16:53+07:00,536,browser.exe,0.00,56.27,0.35,4h55m15s
2026-08-21T23:16:53+07:00,3336,Code.exe,0.19,51.32,0.32,3m24s
2026-08-21T23:16:53+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h51m58s
2026-08-21T23:16:53+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m30s
2026-08-21T23:16:58+07:00,2412,browser.exe,1.30,274.96,1.71,4h55m24s
2026-08-21T23:16:58+07:00,3336,Code.exe,0.19,51.24,0.32,3m29s
2026-08-21T23:16:58+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m35s
2026-08-21T23:16:58+07:00,536,browser.exe,0.00,56.27,0.35,4h55m20s
2026-08-21T23:16:58+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h52m3s
2026-08-21T23:16:58+07:00,2412,browser.exe,1.30,274.96,1.71,4h55m24s
2026-08-21T23:16:58+07:00,536,browser.exe,0.00,56.27,0.35,4h55m20s
2026-08-21T23:16:58+07:00,3336,Code.exe,0.19,51.24,0.32,3m29s
2026-08-21T23:16:58+07:00,2956,RuntimeBroker.exe,0.00,21.15,0.13,4h52m3s
2026-08-21T23:16:58+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m35s
2026-08-21T23:17:03+07:00,2412,browser.exe,1.30,274.94,1.71,4h55m29s
2026-08-21T23:17:03+07:00,3336,Code.exe,0.18,51.17,0.32,3m34s
2026-08-21T23:17:03+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m40s
2026-08-21T23:17:03+07:00,536,browser.exe,0.00,56.27,0.35,4h55m25s
2026-08-21T23:17:03+07:00,2956,RuntimeBroker.exe,0.00,21.14,0.13,4h52m8s
2026-08-21T23:17:03+07:00,2412,browser.exe,1.30,274.94,1.71,4h55m29s
2026-08-21T23:17:03+07:00,536,browser.exe,0.00,56.27,0.35,4h55m25s
2026-08-21T23:17:03+07:00,3336,Code.exe,0.18,51.17,0.32,3m34s
